import time: self [us] | cumulative | imported package
import time:       271 |        271 |   _io
import time:        62 |         62 |   marshal
import time:       287 |        287 |   posix
import time:       487 |       1106 | _frozen_importlib_external
import time:       491 |        491 |   time
import time:       159 |        650 | zipimport
import time:        29 |         29 |     _codecs
import time:       317 |        345 |   codecs
import time:       289 |        289 |   encodings.aliases
import time:       397 |       1030 | encodings
import time:       119 |        119 | encodings.utf_8
import time:        39 |         39 | _signal
import time:        18 |         18 |     _abc
import time:        87 |        105 |   abc
import time:        90 |        195 | io
import time:        27 |         27 |       _stat
import time:        60 |         86 |     stat
import time:       455 |        455 |     _collections_abc
import time:        43 |         43 |       errno
import time:        57 |         57 |       genericpath
import time:        92 |        191 |     posixpath
import time:       303 |       1034 |   os
import time:        52 |         52 |   _sitebuiltins
import time:       270 |        270 |   encodings.utf_8_sig
import time:        86 |         86 |     __future__
import time:        92 |         92 |       importlib
import time:        36 |        128 |     importlib.machinery
import time:       132 |        132 |       importlib._abc
import time:       153 |        153 |       types
import time:        86 |        370 |     importlib.util
import time:        58 |         58 |     itertools
import time:        78 |         78 |             keyword
import time:        34 |         34 |               _operator
import time:       152 |        185 |             operator
import time:       115 |        115 |             reprlib
import time:        33 |         33 |             _collections
import time:       551 |        960 |           collections
import time:        26 |         26 |           _functools
import time:       293 |       1278 |         functools
import time:       295 |        295 |           contextlib
import time:       684 |        684 |             enum
import time:        36 |         36 |               _sre
import time:       143 |        143 |                 re._constants
import time:       215 |        357 |               re._parser
import time:        70 |         70 |               re._casefix
import time:       386 |        848 |             re._compiler
import time:       197 |        197 |             copyreg
import time:       325 |       2053 |           re
import time:       132 |        132 |           fnmatch
import time:       291 |       2771 |         glob
import time:       273 |       4320 |       pathlib._abc
import time:        39 |         39 |           _winapi
import time:        24 |         24 |           nt
import time:        21 |         21 |           nt
import time:        20 |         20 |           nt
import time:        19 |         19 |           nt
import time:        18 |         18 |           nt
import time:        18 |         18 |           nt
import time:        39 |         39 |           nt
import time:       164 |        359 |         ntpath
import time:       206 |        206 |         warnings
import time:        24 |         24 |         pwd
import time:        22 |         22 |         grp
import time:       315 |        924 |       pathlib._local
import time:        97 |       5340 |     pathlib
import time:       424 |       6403 |   __editable___snodo_0_4_0_finder
import time:       108 |        108 |   _virtualenv
import time:        33 |         33 |   sitecustomize
import time:      1156 |       9054 | site
import time:       181 |        181 | linecache
import time:        29 |         29 |               _json
import time:       215 |        243 |             json.scanner
import time:       259 |        501 |           json.decoder
import time:       204 |        204 |           json.encoder
import time:       130 |        835 |         json
import time:       102 |        102 |         email
import time:       544 |        544 |             _ast
import time:       682 |       1225 |           ast
import time:        24 |         24 |               _opcode
import time:       154 |        154 |               _opcode_metadata
import time:       183 |        360 |             opcode
import time:       599 |        958 |           dis
import time:       121 |        121 |             token
import time:        19 |         19 |             _tokenize
import time:       511 |        650 |           tokenize
import time:        27 |         27 |             _typing
import time:      1287 |       1314 |           typing
import time:       166 |        166 |             _weakrefset
import time:       287 |        453 |           weakref
import time:      1774 |       6372 |         inspect
import time:        46 |         46 |           binascii
import time:        43 |         43 |             zlib
import time:       145 |        145 |               _compression
import time:        21 |         21 |               _bz2
import time:       159 |        324 |             bz2
import time:        34 |         34 |               _lzma
import time:       139 |        172 |             lzma
import time:       552 |       1090 |           shutil
import time:        32 |         32 |             _struct
import time:       100 |        132 |           struct
import time:       323 |        323 |           threading
import time:       132 |        132 |             zipfile._path.glob
import time:       245 |        377 |           zipfile._path
import time:       865 |       2831 |         zipfile
import time:       457 |        457 |         textwrap
import time:       189 |        189 |         importlib.metadata._meta
import time:       138 |        138 |         importlib.metadata._collections
import time:        76 |         76 |         importlib.metadata._functools
import time:        65 |         65 |         importlib.metadata._itertools
import time:        31 |         31 |                   math
import time:        14 |         14 |                     _bisect
import time:        96 |        109 |                   bisect
import time:        18 |         18 |                   _random
import time:       381 |        537 |                 random
import time:       247 |        783 |               tempfile
import time:       227 |        227 |               importlib.resources.abc
import time:       232 |       1241 |             importlib.resources._common
import time:        89 |         89 |             importlib.resources._functional
import time:        85 |       1414 |           importlib.resources
import time:       199 |       1612 |         importlib.abc
import time:       622 |      13295 |       importlib.metadata
import time:       124 |        124 |           quopri
import time:        58 |         58 |               _datetime
import time:        93 |        151 |             datetime
import time:        88 |         88 |               urllib
import time:       813 |        813 |               ipaddress
import time:       554 |       1454 |             urllib.parse
import time:       176 |        176 |             email._parseaddr
import time:       232 |       2011 |           email.utils
import time:       263 |        263 |           email.errors
import time:        17 |         17 |                   _string
import time:       309 |        326 |                 string
import time:       132 |        457 |               email.quoprimime
import time:       281 |        281 |                 base64
import time:        86 |        366 |               email.base64mime
import time:        77 |         77 |                 email.encoders
import time:       112 |        189 |               email.charset
import time:       363 |       1373 |             email.header
import time:       172 |       1545 |           email._policybase
import time:       140 |        140 |           email._encoded_words
import time:        74 |         74 |           email.iterators
import time:      1909 |       6063 |         email.message
import time:       110 |        110 |         importlib.metadata._text
import time:       139 |       6311 |       importlib.metadata._adapters
import time:       309 |        309 |         email.feedparser
import time:       122 |        431 |       email.parser
import time:      1663 |      21698 |     snodo
import time:       152 |      21850 |   snodo.cli
import time:       141 |        141 |     typer.colors
import time:       272 |        272 |             typer._click._compat
import time:       122 |        122 |               typer._click.globals
import time:       173 |        173 |               typer._click.utils
import time:       244 |        538 |             typer._click.exceptions
import time:       504 |       1313 |           typer._click.types
import time:       154 |        154 |             typer._click.parser
import time:       137 |        291 |           typer._click.formatting
import time:       173 |        173 |           typer._click.termui
import time:       486 |       2261 |         typer._click.core
import time:        81 |       2342 |       typer._click
import time:        12 |       2354 |     typer._click.exceptions
import time:        49 |         49 |         _wmi
import time:       399 |        447 |       platform
import time:        38 |         38 |           _locale
import time:       453 |        491 |         locale
import time:       442 |        442 |         signal
import time:        28 |         28 |         fcntl
import time:        50 |         50 |         msvcrt
import time:        12 |         12 |         _posixsubprocess
import time:        41 |         41 |         select
import time:       321 |        321 |         selectors
import time:       357 |       1738 |       subprocess
import time:       143 |        143 |         _colorize
import time:       385 |        527 |       traceback
import time:        16 |         16 |         _uuid
import time:       239 |        254 |       uuid
import time:       131 |        131 |         annotated_doc.main
import time:       115 |        246 |       annotated_doc
import time:       149 |        149 |         typer._click.shell_completion
import time:       140 |        288 |       typer._types
import time:        83 |         83 |       typer._typing
import time:       124 |        124 |               shellingham._core
import time:       112 |        235 |             shellingham
import time:       208 |        443 |           typer._completion_shared
import time:       146 |        588 |         typer._completion_classes
import time:       469 |        469 |         typer.models
import time:       445 |        445 |         typer.params
import time:       140 |        140 |           copy
import time:       133 |        273 |         typer.utils
import time:       139 |       1912 |       typer.completion
import time:        25 |         25 |             _heapq
import time:       130 |        154 |           heapq
import time:       336 |        489 |         difflib
import time:       518 |        518 |         gettext
import time:       404 |       1410 |       typer.core
import time:       518 |       7419 |     typer.main
import time:       165 |      10078 |   typer
import time:       309 |        309 |           click._compat
import time:        78 |         78 |             click.globals
import time:       150 |        150 |             click.utils
import time:       218 |        445 |           click.exceptions
import time:       957 |       1710 |         click.types
import time:       192 |        192 |         click._utils
import time:       166 |        166 |           click.parser
