f,direction,policy,false_pass_rate,false_block_rate
0,always_pass,unanimous,0.0,0.82895
1,always_pass,unanimous,0.00045,1.0
2,always_pass,unanimous,0.00315,1.0
3,always_pass,unanimous,0.02235,1.0
4,always_pass,unanimous,0.14765,1.0
5,always_pass,unanimous,1.0,1.0
0,always_pass,majority,0.0007,0.50165
1,always_pass,majority,0.00485,1.0
2,always_pass,majority,0.02215,1.0
3,always_pass,majority,0.08945,1.0
4,always_pass,majority,0.29635,1.0
5,always_pass,majority,1.0,1.0
0,always_pass,quorum,0.0005,0.6172
1,always_pass,quorum,0.00275,1.0
2,always_pass,quorum,0.01225,1.0
3,always_pass,quorum,0.0671,1.0
4,always_pass,quorum,0.30625,1.0
5,always_pass,quorum,1.0,1.0
0,always_pass,any,0.00325,0.47435
1,always_pass,any,0.00755,1.0
2,always_pass,any,0.0283,1.0
3,always_pass,any,0.08905,1.0
4,always_pass,any,0.29545,1.0
5,always_pass,any,1.0,1.0
