rho,K,p_v,simulated,analytical,tier,N,P_structural,P_behavioral,alpha
0.0,3.0,0.2,0.00801,0.008000000000000002,tier1_quorum_miss,,,,
0.05,3.0,0.2,0.01708,0.017600000000000005,tier1_quorum_miss,,,,
0.1,3.0,0.2,0.02748,0.027200000000000002,tier1_quorum_miss,,,,
0.15000000000000002,3.0,0.2,0.03622,0.036800000000000006,tier1_quorum_miss,,,,
0.2,3.0,0.2,0.04667,0.046400000000000004,tier1_quorum_miss,,,,
0.25,3.0,0.2,0.05497,0.056,tier1_quorum_miss,,,,
0.30000000000000004,3.0,0.2,0.06532,0.06560000000000002,tier1_quorum_miss,,,,
0.35000000000000003,3.0,0.2,0.07575,0.07520000000000002,tier1_quorum_miss,,,,
0.4,3.0,0.2,0.08586,0.08480000000000001,tier1_quorum_miss,,,,
0.45,3.0,0.2,0.09351,0.09440000000000001,tier1_quorum_miss,,,,
0.5,3.0,0.2,0.1039,0.10400000000000001,tier1_quorum_miss,,,,
0.55,3.0,0.2,0.11503,0.11360000000000002,tier1_quorum_miss,,,,
0.6000000000000001,3.0,0.2,0.12354,0.12320000000000003,tier1_quorum_miss,,,,
0.65,3.0,0.2,0.1341,0.1328,tier1_quorum_miss,,,,
0.7000000000000001,3.0,0.2,0.14178,0.14240000000000003,tier1_quorum_miss,,,,
0.75,3.0,0.2,0.15126,0.15200000000000002,tier1_quorum_miss,,,,
0.8,3.0,0.2,0.16106,0.16160000000000002,tier1_quorum_miss,,,,
0.8500000000000001,3.0,0.2,0.17285,0.17120000000000002,tier1_quorum_miss,,,,
0.9,3.0,0.2,0.18049,0.18080000000000002,tier1_quorum_miss,,,,
0.9500000000000001,3.0,0.2,0.1912,0.1904,tier1_quorum_miss,,,,
1.0,3.0,0.2,0.19903,0.2,tier1_quorum_miss,,,,
0.0,5.0,0.2,0.00027,0.0003200000000000001,tier1_quorum_miss,,,,
0.05,5.0,0.2,0.01025,0.010304000000000002,tier1_quorum_miss,,,,
0.1,5.0,0.2,0.0201,0.020288000000000004,tier1_quorum_miss,,,,
0.15000000000000002,5.0,0.2,0.02895,0.030272000000000007,tier1_quorum_miss,,,,
0.2,5.0,0.2,0.04075,0.04025600000000001,tier1_quorum_miss,,,,
0.25,5.0,0.2,0.05024,0.05024000000000001,tier1_quorum_miss,,,,
0.30000000000000004,5.0,0.2,0.05995,0.060224000000000014,tier1_quorum_miss,,,,
0.35000000000000003,5.0,0.2,0.06911,0.07020800000000002,tier1_quorum_miss,,,,
0.4,5.0,0.2,0.08122,0.08019200000000001,tier1_quorum_miss,,,,
0.45,5.0,0.2,0.09021,0.09017600000000002,tier1_quorum_miss,,,,
0.5,5.0,0.2,0.09929,0.10016000000000001,tier1_quorum_miss,,,,
0.55,5.0,0.2,0.11042,0.11014400000000002,tier1_quorum_miss,,,,
0.6000000000000001,5.0,0.2,0.11901,0.12012800000000003,tier1_quorum_miss,,,,
0.65,5.0,0.2,0.13078,0.130112,tier1_quorum_miss,,,,
