policy,accuracy_p,good_halt_rate,good_escalate_rate,good_total_refusal,good_false_block,bad_halt_rate,bad_escalate_rate,bad_total_refusal,bad_proceed_rate,bad_false_pass
unanimous,0.5,0.49112,0.3852,0.87632,0.87632,0.87772,0.10676,0.9844799999999999,0.01552,0.01552
unanimous,0.525,0.46468,0.38692,0.8515999999999999,0.8515999999999999,0.89576,0.09128,0.98704,0.01296,0.01296
unanimous,0.55,0.45064,0.38324,0.83388,0.83388,0.90928,0.07956,0.9888399999999999,0.01116,0.01116
unanimous,0.575,0.43108,0.37248,0.80356,0.80356,0.9214,0.06768,0.98908,0.01092,0.01092
unanimous,0.6,0.40384,0.37828,0.7821199999999999,0.7821199999999999,0.9378,0.0552,0.993,0.007,0.007
unanimous,0.625,0.38856,0.3696,0.75816,0.75816,0.9474,0.04556,0.9929600000000001,0.00704,0.00704
unanimous,0.65,0.36304,0.35968,0.72272,0.72272,0.95728,0.03784,0.99512,0.00488,0.00488
unanimous,0.675,0.342,0.34716,0.68916,0.68916,0.96592,0.02972,0.99564,0.00436,0.00436
unanimous,0.7,0.3178,0.34088,0.65868,0.65868,0.9726,0.02316,0.99576,0.00424,0.00424
unanimous,0.725,0.29596,0.3254,0.62136,0.62136,0.97872,0.0184,0.99712,0.00288,0.00288
unanimous,0.75,0.26776,0.30636,0.57412,0.57412,0.986,0.0124,0.9984,0.0016,0.0016
unanimous,0.775,0.24444,0.285,0.5294399999999999,0.5294399999999999,0.98812,0.01036,0.99848,0.00152,0.00152
unanimous,0.8,0.22324,0.26848,0.49172,0.49172,0.99276,0.00604,0.9988,0.0012,0.0012
unanimous,0.825,0.19252,0.2452,0.43772,0.43772,0.99492,0.0044,0.99932,0.00068,0.00068
unanimous,0.8500000000000001,0.1694,0.21708,0.38648,0.38648,0.99688,0.0026,0.99948,0.00052,0.00052
unanimous,0.875,0.1402,0.18764,0.32784,0.32784,0.99784,0.00172,0.99956,0.00044,0.00044
unanimous,0.9,0.11684,0.15676,0.2736,0.2736,0.99884,0.00112,0.99996,4e-05,4e-05
unanimous,0.925,0.0898,0.12244,0.21223999999999998,0.21223999999999998,0.99972,0.0002,0.99992,8e-05,8e-05
unanimous,0.95,0.06024,0.08784,0.14808,0.14808,0.99976,0.00016,0.99992,8e-05,8e-05
unanimous,0.9750000000000001,0.03184,0.0422,0.07404,0.07404,0.99996,4e-05,1.0,0.0,0.0
unanimous,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
majority,0.5,0.48764,0.16148,0.64912,0.64912,0.87416,0.0652,0.9393600000000001,0.06064,0.06064
majority,0.525,0.46752,0.14856,0.61608,0.61608,0.89524,0.053,0.9482400000000001,0.05176,0.05176
majority,0.55,0.44384,0.14644,0.59028,0.59028,0.90996,0.04584,0.9558,0.0442,0.0442
majority,0.575,0.43464,0.12744,0.56208,0.56208,0.92408,0.03808,0.96216,0.03784,0.03784
majority,0.6,0.41328,0.11548,0.52876,0.52876,0.93752,0.03164,0.96916,0.03084,0.03084
majority,0.625,0.38616,0.1068,0.49296,0.49296,0.94816,0.0276,0.97576,0.02424,0.02424
